p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
4.518860820681179e-7,-0.5705798849073138,0.146,0.256,0.012607169803618421,TOMM22
4.582908413153925e-7,-0.47150613638857003,0.291,0.434,0.012785856181858134,RBM17
4.5934181168457164e-7,-1.2525735485014735,0.028,0.083,0.012815177204187865,VAMP5
4.647969821143884e-7,-0.583258935994964,0.152,0.258,0.012967371004009322,WASHC2C
4.666289522548489e-7,-0.6255409184193459,0.039,0.103,0.01301848113895803,EN1
4.701816353756318e-7,-0.9765277756653798,0.043,0.107,0.01311759744534475,FGD2
4.771019017202629e-7,-4.358739355295062,0.003,0.032,0.013310665956093615,TRAF5
4.980888798026848e-7,0.8186806292382165,0.36,0.26,0.013896181657615104,FBXO9
4.992742928435986e-7,0.32895604685115254,0.814,0.806,0.013929253496043558,LGALS1
5.023657671175165e-7,-0.7314768440925368,0.123,0.22,0.014015502536811593,CENPH
5.136539716892812e-7,-0.48471285031019384,0.315,0.454,0.014330432156159255,TOMM6
5.163583234199761e-7,-0.5110096978207197,0.256,0.388,0.014405880865093914,NDUFS4
5.247458830748522e-7,0.672608166427912,0.518,0.46,0.014639885391905302,ARF1
5.265516538691736e-7,-0.5523924856564528,0.179,0.292,0.014690264591296073,HELLS
5.272309524576178e-7,-1.00343814267354,0.074,0.152,0.014709216342615078,ADSL
5.28726060532875e-7,-0.3931743450206494,0.242,0.372,0.014750928362806679,PRMT2
5.298762505456839e-7,1.2472807349009394,0.208,0.119,0.014783017513974034,EAF1
5.314318385939717e-7,-2.4379527914595696,0.005,0.037,0.014826416864933216,MEST
5.372156983003186e-7,1.563436750572079,0.133,0.058,0.01498778076688059,ZFAND2A
5.37702042320306e-7,1.6366584013491317,0.112,0.042,0.015001349278694216,OMA1
5.379488392080514e-7,-1.6767544589784915,0.026,0.079,0.015008234665065427,PRKAG2-AS1
5.457636127417045e-7,-2.3443233877072744,0.005,0.037,0.015226259031880813,GNLY
5.481289811216164e-7,-0.9689727574542821,0.065,0.139,0.015292250444311976,SLC31A1
5.663356748572005e-7,-2.628833242267466,0.007,0.043,0.015800198992841036,PARD6B
5.788180222266367e-7,1.3214524270478005,0.207,0.119,0.01614844400210094,MEF2D
5.792247133840093e-7,-0.6416201060037854,0.127,0.224,0.016159790278700476,PDHB
5.863565290615506e-7,-0.49542299187410316,0.296,0.434,0.0163587608042882,PSMA3
5.874991467272168e-7,-1.5363524428212116,0.031,0.087,0.01639063869454262,PGM1
6.001066407824243e-7,-0.8120041308980133,0.147,0.248,0.016742375171188855,TUBA1A
6.050529070412206e-7,-0.8393226483722132,0.088,0.171,0.016880371053543015,AAMP
6.071823058430781e-7,4.397243169209483,0.043,0.002,0.016939779150716035,LINC00899
